,NAME,CATEGORY,SUBCATEGORY,LON,LAT,CITY,OPENING_HOURS,OTHER_TAGS
13,Hotel Hari,ACCOMMODATION,HOTEL,7.565036600000001,46.4963455,Adelboden,,"{""wheelchair"":""yes"",""contact:facebook"":""https://www.facebook.com/HotelHari.Adelboden/"",""internet_access"":""yes"",""internet_access:fee"":""no"",""tourism"":""hotel"",""stars"":""3"",""contact:instagram"":""hotelhariadelboden"",""name:ch"":""Hotel Hari im Schlegeli"",""smoking"":""outside"",""name"":""Hotel Hari"",""name:fr"":""Hôtel Hari"",""ele"":""1355""}"
14,Parkhotel Bellevue,ACCOMMODATION,HOTEL,7.5562312,46.4922042,Adelboden,,"{""rooms"":""53"",""tourism"":""hotel"",""source"":""visit"",""bar"":""yes"",""smoking"":""outside"",""wellness"":""yes"",""owner"":""Familie Richard"",""high_chair"":""yes"",""internet_access"":""wlan"",""restaurant"":""yes"",""internet_access:fee"":""no"",""stars"":""4"",""name"":""Parkhotel Bellevue"",""internet_access:ssid"":""Bellevue"",""gluten_free"":""yes""}"
71,Central,ACCOMMODATION,HOTEL,8.5662067,46.617649500000006,,,"{""amenity"":""restaurant"",""name"":""Central"",""tourism"":""hotel""}"
77,Ospizo del San Gottardo,ACCOMMODATION,HOTEL,8.567986300000001,46.5553784,,,"{""name:de"":""St. Gotthard Hospiz"",""amenity"":""restaurant"",""name"":""Ospizo del San Gottardo"",""name:it"":""Ospizo del San Gottardo"",""tourism"":""hotel""}"
656,Hotel Jardin Bern,ACCOMMODATION,HOTEL,7.457807600000001,46.958952,,Mo-Su 07:00-23:00,"{""payment:maestro"":""yes"",""payment:mastercard"":""yes"",""rooms"":""24"",""payment:credit_cards"":""yes"",""tourism"":""hotel"",""source"":""local knowledge"",""payment:american_express"":""yes"",""contact:addr"":""Militärstrasse 38, 3014"",""smoking"":""outside"",""payment:diners_club"":""yes"",""start_date"":""1929"",""payment:discover_card"":""yes"",""internet_access"":""wlan"",""payment:visa_debit"":""yes"",""internet_access:fee"":""no"",""payment:cash"":""yes"",""payment:contactless"":""yes"",""stars"":""3"",""payment:visa"":""yes"",""name"":""Hotel Jardin Bern"",""internet_access:ssid"":""Hotel Jardin"",""payment:debit_cards"":""yes""}"
721,ibis budget Bern Expo,ACCOMMODATION,HOTEL,7.464330500000001,46.9586496,Bern,,"{""wheelchair"":""yes"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""tourism"":""hotel"",""old_name"":""Etap Hotel"",""smoking"":""no"",""name"":""ibis budget Bern Expo"",""brand"":""ibis budget"",""name:es"":""Ibis Budget Bern Expo""}"
722,Arabelle,ACCOMMODATION,HOTEL,7.432653800000001,46.953739000000006,,24/7,"{""internet_access"":""wlan"",""internet_access:fee"":""no"",""tourism"":""hotel"",""source"":""survey and website"",""contact:addr"":""Mittelstrasse 6, 3012 Bern"",""smoking"":""no"",""name"":""Arabelle""}"
736,Sternen,ACCOMMODATION,HOTEL,9.1501592,47.1173159,,Su-Th 08:00-23:00;Fr-Sa 08:00-24:00,"{""amenity"":""restaurant"",""name"":""Sternen"",""tourism"":""hotel""}"
737,Hirschen,ACCOMMODATION,HOTEL,9.1508843,47.1169747,,,"{""amenity"":""restaurant"",""name"":""Hirschen"",""tourism"":""hotel""}"
752,Kulm,ACCOMMODATION,HOTEL,7.437834,46.9199397,,,"{""name"":""Kulm"",""wheelchair"":""yes"",""tourism"":""hotel""}"
834,Hotel Ochsen,ACCOMMODATION,HOTEL,8.983922,47.224308,,,"{""name"":""Hotel Ochsen"",""tourism"":""hotel""}"
1047,RömerTurm,ACCOMMODATION,HOTEL,9.1174346,47.121409500000006,,Mo-Su 07:00-24:00,"{""amenity"":""restaurant"",""name"":""RömerTurm"",""cuisine"":""regional"",""tourism"":""hotel""}"
1084,Metzg,ACCOMMODATION,HOTEL,8.7260424,47.2453596,,,"{""name"":""Metzg"",""tourism"":""hotel"",""created_by"":""Potlatch alpha"",""amenity"":""restaurant""}"
1099,Cristal,ACCOMMODATION,HOTEL,8.990731,46.9388171,,,"{""amenity"":""restaurant"",""name"":""Cristal"",""tourism"":""hotel""}"
1776,Leonardo Boutique Hotel Rigihof,ACCOMMODATION,HOTEL,8.5479932,47.3841491,Zürich,,"{""wheelchair"":""no"",""rooms"":""67"",""name"":""Leonardo Boutique Hotel Rigihof"",""tourism"":""hotel"",""stars"":""4"",""brand"":""Leonardo Boutique Hotels""}"
1790,Hotel Krafft,ACCOMMODATION,HOTEL,7.591774300000001,47.5602209,Basel,,"{""name"":""Hotel Krafft"",""tourism"":""hotel"",""wikidata"":""Q1630937""}"
1791,Merian,ACCOMMODATION,HOTEL,7.5913376,47.560606500000006,,,"{""name"":""Merian"",""tourism"":""hotel""}"
1794,Basilisk,ACCOMMODATION,HOTEL,7.592234800000001,47.5632953,,,"{""name"":""Basilisk"",""tourism"":""hotel""}"
1864,Hotel-Restaurant Zum Goldenen Kopf,ACCOMMODATION,HOTEL,8.540873300000001,47.518565800000005,,,"{""name"":""Hotel-Restaurant Zum Goldenen Kopf"",""wheelchair"":""yes"",""tourism"":""hotel""}"
1865,Rathaus-Stube,ACCOMMODATION,HOTEL,8.540503900000001,47.517310900000005,,,"{""name"":""Rathaus-Stube"",""tourism"":""hotel""}"
1996,Blümlisalp,ACCOMMODATION,HOTEL,7.6756549,46.4993051,Kandersteg,,"{""amenity"":""restaurant"",""name"":""Blümlisalp"",""tourism"":""hotel""}"
2131,Flora,ACCOMMODATION,HOTEL,8.307749300000001,47.0500868,,,"{""name"":""Flora"",""wheelchair"":""yes"",""tourism"":""hotel""}"
2149,Les Trois Rois,ACCOMMODATION,HOTEL,7.5876903,47.5603897,,,"{""name"":""Les Trois Rois"",""tourism"":""hotel"",""name:de"":""Les Trois Rois"",""stars"":""5"",""wikidata"":""Q678997""}"
4089,Gürgaletsch,ACCOMMODATION,HOTEL,9.6070745,46.8180045,,,"{""name"":""Gürgaletsch"",""tourism"":""hotel""}"
4164,Krone,ACCOMMODATION,HOTEL,8.7274052,47.4993787,Winterthur,,"{""internet_access"":""yes"",""internet_access:fee"":""no"",""tourism"":""hotel"",""stars"":""3"",""name"":""Krone""}"
4218,Rheinfels,ACCOMMODATION,HOTEL,8.8591668,47.658735500000006,Stein am Rhein,,"{""wheelchair"":""limited"",""amenity"":""restaurant"",""name"":""Rheinfels"",""tourism"":""hotel""}"
4221,Schiff,ACCOMMODATION,HOTEL,8.8570223,47.660228800000006,Stein am Rhein,Mo-Su 10:00-22:30,"{""wheelchair"":""yes"",""amenity"":""restaurant"",""cuisine"":""italian"",""tourism"":""hotel"",""name"":""Schiff""}"
4223,Hotel Restaurant Adler,ACCOMMODATION,HOTEL,8.859654,47.6594624,Stein am Rhein,,"{""wheelchair"":""limited"",""addr:housename"":""Zum Adler"",""amenity"":""restaurant"",""name"":""Hotel Restaurant Adler"",""tourism"":""hotel"",""outdoor_seating"":""yes""}"
4257,Danilo,ACCOMMODATION,HOTEL,9.5964518,46.597458800000005,,,"{""name"":""Danilo"",""cuisine"":""regional"",""tourism"":""hotel"",""stars"":""3"",""amenity"":""restaurant""}"
4277,Alpenrose,ACCOMMODATION,HOTEL,9.3284232,47.1900671,,,"{""name"":""Alpenrose"",""wheelchair"":""yes"",""tourism"":""hotel""}"
4278,Alpenblick,ACCOMMODATION,HOTEL,9.3401654,47.2013313,,,"{""name"":""Alpenblick"",""tourism"":""hotel"",""created_by"":""JOSM""}"
4349,Rheinquelle,ACCOMMODATION,HOTEL,8.7084313,46.655277000000005,Tschamut,,"{""tourism"":""hotel"",""name"":""Rheinquelle""}"
4370,Rössli,ACCOMMODATION,HOTEL,9.1107781,47.568079100000006,,"Su-Tu 11:30-14:00,17:30-23:00; Sa 17:30-23:00","{""wheelchair"":""no"",""amenity"":""restaurant"",""name"":""Rössli"",""tourism"":""hotel""}"
4408,Le Chapeau de Napoléon,ACCOMMODATION,HOTEL,6.5717834,46.9037225,,,"{""name"":""Le Chapeau de Napoléon"",""tourism"":""hotel"",""wikidata"":""Q15793901"",""created_by"":""Potlatch 0.7b""}"
4653,Altavilla,ACCOMMODATION,HOTEL,10.0572346,46.3285964,,,"{""name"":""Altavilla"",""tourism"":""hotel"",""amenity"":""restaurant""}"
4697,Hotel Palü,ACCOMMODATION,HOTEL,9.9137665,46.4827723,Pontresina,,"{""tourism"":""hotel"",""stars"":""3S"",""name"":""Hotel Palü""}"
4704,La Nouvelle Couronne,ACCOMMODATION,HOTEL,6.497264800000001,46.5083871,Morges,,"{""access"":""no"",""tourism"":""hotel"",""stars"":""3"",""name"":""La Nouvelle Couronne""}"
4709,Hotel La Furca,ACCOMMODATION,HOTEL,8.8536616,46.7048251,Disentis/Mustér,Tu-Su 08:00+; Mo off,"{""tourism"":""hotel"",""name"":""Hotel La Furca""}"
4727,Landhaus,ACCOMMODATION,HOTEL,7.4589913,46.9500345,,,"{""contact:addr"":""Altenbergstrasse 4, 3013 Bern"",""internet_access"":""wlan"",""name"":""Landhaus"",""tourism"":""hotel"",""source"":""website""}"
4790,Hotel Ochsen,ACCOMMODATION,HOTEL,8.998993,47.236441000000006,,,"{""name"":""Hotel Ochsen"",""tourism"":""hotel"",""created_by"":""JOSM""}"
